Department_ID,Department_name,,Batch_List,,,,,
CSE,Computer Science & Engineering,,,,,,,CSE22:
ECE,Electronics & Communication Engineering,,,,,,,ECE22:
CSEAI,Computer Science & Engineering (Artificial Intelligence),,,,,,,CSEAI22:
CSEAIML,Computer Science & Engineering (Artificial Intelligence and Machine Learning),,,,,,,
CSEIOT,Computer Science & Engineering (Internet of Things),,,,,,,
CSBS,Computer Science & Business Studies,,,,,,,
IT,Information Technology,,,,,,,
ME,Mechanical Engineering,,,,,,,
